Voltaje,Diametro_Interno_1,Diametro_Externo_1,Diametro_1,Diametro_Interno_2,Diametro_Externo_2,Diametro_2
1.9,3.34,3.81,3.58,6.19,7.36,6.51
2.2,2.81,3.48,3.06,5.33,5.94,5.66
2.6,2.66,3.18,3.07,4.81,5.33,5.15
3.0,2.37,2.85,2.66,4.58,4.97,4.86
3.5,2.31,2.62,2.43,4.15,4.7,4.48
3.7,2.2,2.61,2.38,4.08,4.62,4.33
4.0,2.07,2.44,2.24,3.82,4.41,4.11
4.3,2.01,2.37,2.19,3.72,4.16,3.87
4.5,1.99,2.3,2.13,3.69,4.04,3.81
4.7,1.95,2.27,2.12,3.65,4.01,3.86
4.7,1.95,2.27,2.12,3.65,4.01,3.81
4.9,1.85,2.2,2.08,3.57,3.94,3.61
