Temperatur,Voltaje_Hall,Voltaje_Longitudinal,Basura,Tipo
139,0.040,0.044,0.00, Germanio n
138,0.041,0.046,0.00, Germanio n
136,0.045,0.046,0.00, Germanio n
135,0.048,0.047,0.00, Germanio n
134,0.059,0.049,0.00, Germanio n
131,0.060,0.052,0.00, Germanio n
129,0.061,0.053,0.00, Germanio n
128,0.062,0.055,0.00, Germanio n
127,0.062,0.056,0.00, Germanio n
126,0.064,0.058,0.00, Germanio n
125,0.066,0.060,0.00, Germanio n
123,0.067,0.062,0.00, Germanio n
120,0.074,0.066,0.00, Germanio n
117,0.079,0.069,0.00, Germanio n
115,0.088,0.072,0.00, Germanio n
111,0.140,0.079,0.00, Germanio n
109,0.166,0.082,0.00, Germanio n
108,0.185,0.084,0.00, Germanio n
105,0.216,0.088,0.00, Germanio n
103,0.262,0.092,0.00, Germanio n
100,0.296,0.097,0.00, Germanio n
99,0.308,0.100,0.00, Germanio n
97,0.316,0.101,0.00, Germanio n
95,0.327,0.104,0.00, Germanio n
91,0.353,0.110,0.00, Germanio n
87,0.363,0.115,0.00, Germanio n
85,0.367,0.116,0.00, Germanio n
80,0.377,0.121,0.00, Germanio n
75,0.381,0.123,0.00, Germanio n
71,0.381,0.124,0.00, Germanio n
71,0.381,0.124,0.00, Germanio n
68,0.380,0.124,0.00, Germanio n
65,0.378,0.124,0.00, Germanio n
132,-0.029,0.005,0.00, Germanio p
131,-0.024,0.005,0.00, Germanio p
130,-0.023,0.005,0.00, Germanio p
129,-0.021,0.005,0.00, Germanio p
128,-0.017,0.005,0.00, Germanio p
127,-0.014,0.005,0.00, Germanio p
126,-0.006,0.005,0.00, Germanio p
124,0.000,0.006,0.00, Germanio p
123,0.004,0.006,0.00, Germanio p
121,0.010,0.006,0.00, Germanio p
119,0.017,0.006,0.00, Germanio p
117,0.034,0.006,0.00, Germanio p
116,0.042,0.006,0.00, Germanio p
115,0.048,0.006,0.00, Germanio p
114,0.059,0.006,0.00, Germanio p
113,0.065,0.006,0.00, Germanio p
111,0.076,0.006,0.00, Germanio p
109,0.088,0.006,0.00, Germanio p
108,0.106,0.006,0.00, Germanio p
107,0.112,0.006,0.00, Germanio p
105,0.121,0.006,0.00, Germanio p
103,0.135,0.005,0.00, Germanio p
102,0.155,0.005,0.00, Germanio p
101,0.160,0.005,0.00, Germanio p
100,0.166,0.005,0.00, Germanio p
99,0.174,0.005,0.00, Germanio p
97,0.186,0.005,0.00, Germanio p
96,0.198,0.005,0.00, Germanio p
94,0.206,0.005,0.00, Germanio p
93,0.213,0.005,0.00, Germanio p
91,0.235,0.005,0.00, Germanio p
89,0.240,0.005,0.00, Germanio p
87,0.247,0.005,0.00, Germanio p
86,0.259,0.005,0.00, Germanio p
83,0.272,0.005,0.00, Germanio p
81,0.280,0.005,0.00, Germanio p
79,0.285,0.005,0.00, Germanio p
78,0.289,0.005,0.00, Germanio p
75,0.296,0.005,0.00, Germanio p
74,0.300,0.005,0.00, Germanio p
73,0.301,0.005,0.00, Germanio p
69,0.307,0.005,0.00, Germanio p
67,0.316,0.005,0.00, Germanio p
65,0.322,0.005,0.00, Germanio p
63,0.324,0.005,0.00, Germanio p
62,0.325,0.004,0.00, Germanio p
60,0.326,0.005,0.00, Germanio p
56,0.325,0.005,0.00, Germanio p
