Valor	RP
40	492202
60	490243
80	489549
100	488976
120	488498
140	487983
160	487216
180	484545
200	483678
220	482846
240	482185
260	481474
280	480792
300	479970
320	479176
340	478492
360	477932
380	477332
400	477032
420	476732
440	476400
460	476111
480	475778
500	475378
520	475047
540	474713
560	474380
580	474014
600	473507
620	472839
640	471589
660	466003
680	463760
700	462690
720	461853
740	461261
760	460858
780	460547
800	460272
820	460011
840	459785
860	459521
880	459258
900	459002
920	458751
940	458503
960	458259
980	457981
1000	454251
1020	453425
1040	453204
1060	452983
1080	452751
1100	452509
1120	452270
1140	452042
1160	449511
1180	332470
1200	297811
1220	297456
1240	297205
1260	297008
1280	296800
1300	296607
1320	296395
1340	296198
1360	296005
1380	295783
1400	295595
1420	295385
1440	295195
1460	295017
1480	294834
1500	294659
1520	294472
1540	294265
1560	294104
1580	293947
1600	293747
1620	293573
1640	293405
1660	293250
1680	293067
1700	292905
1720	292737
1740	292542
1760	292360
1780	292153
1800	292018
1820	291854
1840	291686
1860	291528
1880	291383
1900	291227
1920	291059
1940	290743
1960	290186
1980	272499
2000	166151
2020	148151
2040	147813
2060	147667
2080	147522
2100	147368
2120	147251
2140	147113
2160	146987
2180	146848
2200	146715
2220	146590
2240	146459
2260	146331
2280	146196
2300	146076
2320	145940
2340	145802
2360	145672
2380	145551
2400	145440
2420	145316
2440	145187
2460	145075
2480	144967
2500	144845
2520	144714
2540	144606
2560	144498
2580	144407
2600	144286
2620	144179
2640	144079
2660	143970
2680	143854
2700	143750
2720	143651
2740	143532
2760	143416
2780	143303
2800	143181
2820	143085
2840	143000
2860	142922
2880	142826
2900	142743
2920	142639
2940	142548
2960	142459
2980	142365
3000	142263
3020	142172
3040	142064
3060	141961
3080	141889
3100	141800
3120	141724
3140	141640
3160	141562
3180	141474
3200	141376
3220	141299
3240	141211
3260	141123
3280	141048
3300	140978
3320	140902
3340	140818
3360	140745
3380	140668
3400	140592
3420	140493
3440	140421
3460	140356
3480	140288
3500	140213
3520	140133
3540	140068
3560	139993
3580	139914
3600	139841
3620	139752
3640	139692
3660	139628
3680	139557
3700	139489
3720	139404
3740	139328
3760	139247
3780	139186
3800	139113
3820	139042
3840	138984
3860	138920
3880	138854
3900	138793
3920	138729
3940	138659
3960	138594
3980	138519
4000	138450
4020	138379
4040	138315
4060	138246
4080	138185
