Valor	RP_dividido
40	-0.004481998958602412
60	-0.008470013751023452
80	-0.009886641190442995
100	-0.011057791780348415
120	-0.012035822987526042
140	-0.013090631115385082
160	-0.01466364371723014
180	-0.020160894021392844
200	-0.021951804238835956
220	-0.023673438063770674
240	-0.02504334245724918
260	-0.02651896843908551
280	-0.027936456148707624
300	-0.029647598347438436
320	-0.03130323822160206
340	-0.03273170845619285
360	-0.033902737338768835
380	-0.03515893474367804
400	-0.03578762570411103
420	-0.03641671216552856
440	-0.0371133628150236
460	-0.037720179972763834
480	-0.038419841411407085
500	-0.03926092326040049
520	-0.03995745378807433
540	-0.040660789396583005
560	-0.04136251201736844
580	-0.042134343172288265
600	-0.04320450425238381
620	-0.04461625029652659
640	-0.04726335675655048
660	-0.059179128423004775
680	-0.06400402326469122
700	-0.06631391689253599
720	-0.06812454166318643
740	-0.06940715698731405
760	-0.07028123077965064
780	-0.07095628683385106
800	-0.07155358121673362
820	-0.07212079805546197
840	-0.072612211378738
860	-0.07318655769488783
880	-0.07375905664661246
900	-0.07431663294664154
920	-0.07486362109325223
940	-0.0754043655458096
960	-0.07593667383468163
980	-0.0765435017586555
1000	-0.08472129159138107
1020	-0.0865413247926816
1040	-0.08702884505593639
1060	-0.08751660311113135
1080	-0.0880288948106235
1100	-0.08856354785121891
1120	-0.08909185367078128
1140	-0.08959610442678378
1160	-0.09521087504876911
1180	-0.39682156983474065
1200	-0.5069121431864597
1220	-0.5081048854083073
1240	-0.5089490639063289
1260	-0.5096121258293013
1280	-0.5103126890029434
1300	-0.510963170061661
1320	-0.5116781761123381
1340	-0.5123430506797295
1360	-0.5129948542228828
1380	-0.5137451229353734
1400	-0.5143809261148397
1420	-0.5150916100934472
1440	-0.5157350453826719
1460	-0.5163382184980834
1480	-0.5169587142024951
1500	-0.517552444764659
1520	-0.5181872781252539
1540	-0.5188904783947459
1560	-0.5194377540126606
1580	-0.5199717213173002
1600	-0.5206523476559081
1620	-0.5212448696374196
1640	-0.5218172931510346
1660	-0.5223457127625839
1680	-0.5229699484778793
1700	-0.5235228759355987
1720	-0.5240966052945186
1740	-0.5247629541886882
1760	-0.5253852806839777
1780	-0.5260935626508585
1800	-0.5265557560921736
1820	-0.5271175230695692
1840	-0.527693319089179
1860	-0.5282351442300892
1880	-0.5287326472897012
1900	-0.529268168491631
1920	-0.529845204534612
1940	-0.5309314848535984
1960	-0.5328491036011086
1980	-0.595736255924374
2000	-1.090474186855838
2020	-1.205139176383749
2040	-1.20742323895179
2060	-1.2084114615853474
2080	-1.2093938830960558
2100	-1.2104383404462526
2120	-1.2112325866160554
2140	-1.212170201338711
2160	-1.2130270528022202
2180	-1.2139731620837457
2200	-1.2148792708856027
2220	-1.215731625994229
2240	-1.2166256744893675
2260	-1.2175000213465312
2280	-1.218423013135898
2300	-1.219244166080709
2320	-1.2201756219586946
2340	-1.221121663394569
2360	-1.2220136812666265
2380	-1.222844659636898
2400	-1.223607569867
2420	-1.2244605187830515
2440	-1.2253486335941137
2460	-1.2261203502194966
2480	-1.2268650699841614
2500	-1.2277069951439652
2520	-1.22861181943841
2540	-1.2293583976564135
2560	-1.2301055336699167
2580	-1.2307354985580945
2600	-1.2315737593201177
2620	-1.2323156171185148
2640	-1.2330094400411158
2660	-1.2337662557579048
2680	-1.2345723039420768
2700	-1.2352955206187088
2720	-1.2359844535306728
2740	-1.2368131934408406
2760	-1.2376217023436311
2780	-1.2384099305799923
2800	-1.2392616361368465
2820	-1.2399323410308876
2840	-1.2405265700362613
2860	-1.2410721733961634
2880	-1.2417440941347988
2900	-1.2423253897399742
2920	-1.243054237422056
2940	-1.2436924152007656
2960	-1.2443169612848475
2980	-1.2449770180456035
3000	-1.2456937430646908
3020	-1.2463336080820397
3040	-1.2470935400061978
3060	-1.2478188283048701
3080	-1.248326138514799
3100	-1.2489535861981416
3120	-1.2494896960288457
3140	-1.2500825730524656
3160	-1.250633416633883
3180	-1.251255245679203
3200	-1.2519481924985167
3220	-1.252492987771565
3240	-1.2531159745886415
3260	-1.253739349760245
3280	-1.2542709423177096
3300	-1.2547673504604868
3320	-1.2553065870281155
3340	-1.2559029238340884
3360	-1.256421457886046
3380	-1.256968696300203
3400	-1.2575091215426812
3420	-1.2582135348275854
3440	-1.2587261472397588
3460	-1.2591891481348547
3480	-1.2596737478507276
3500	-1.2602085053153163
3520	-1.260779228651276
3540	-1.2612431813221512
3560	-1.2617787789369062
3580	-1.2623432521519213
3600	-1.2628651373847635
3620	-1.2635017770932402
3640	-1.2639312012420643
3660	-1.2643894570140821
3680	-1.2648980803393368
3700	-1.2653854551904082
3720	-1.2659950079768305
3740	-1.2665403346840864
3760	-1.2671218657064875
3780	-1.2675600321664686
3800	-1.2680846477897676
3820	-1.268595154532713
3840	-1.2690123817045702
3860	-1.2694729724202953
3880	-1.269948178892046
3900	-1.2703875857718716
3920	-1.2708488104757476
3940	-1.271353518693017
