Valor	Conteo	Suma_acumulada
40	2211	2211
60	1959	4170
80	694	4864
100	573	5437
120	478	5915
140	515	6430
160	767	7197
180	2671	9868
200	867	10735
220	832	11567
240	661	12228
260	711	12939
280	682	13621
300	822	14443
320	794	15237
340	684	15921
360	560	16481
380	600	17081
400	300	17381
420	300	17681
440	332	18013
460	289	18302
480	333	18635
500	400	19035
520	331	19366
540	334	19700
560	333	20033
580	366	20399
600	507	20906
620	668	21574
640	1250	22824
660	5586	28410
680	2243	30653
700	1070	31723
720	837	32560
740	592	33152
760	403	33555
780	311	33866
800	275	34141
820	261	34402
840	226	34628
860	264	34892
880	263	35155
900	256	35411
920	251	35662
940	248	35910
960	244	36154
980	278	36432
1000	3730	40162
1020	826	40988
1040	221	41209
1060	221	41430
1080	232	41662
1100	242	41904
1120	239	42143
1140	228	42371
1160	2531	44902
1180	117041	161943
1200	34659	196602
1220	355	196957
1240	251	197208
1260	197	197405
1280	208	197613
1300	193	197806
1320	212	198018
1340	197	198215
1360	193	198408
1380	222	198630
1400	188	198818
1420	210	199028
1440	190	199218
1460	178	199396
1480	183	199579
1500	175	199754
1520	187	199941
1540	207	200148
1560	161	200309
1580	157	200466
1600	200	200666
1620	174	200840
1640	168	201008
1660	155	201163
1680	183	201346
1700	162	201508
1720	168	201676
1740	195	201871
1760	182	202053
1780	207	202260
1800	135	202395
1820	164	202559
1840	168	202727
1860	158	202885
1880	145	203030
1900	156	203186
1920	168	203354
1940	316	203670
1960	557	204227
1980	17687	221914
2000	106348	328262
2020	18000	346262
2040	338	346600
2060	146	346746
2080	145	346891
2100	154	347045
2120	117	347162
2140	138	347300
2160	126	347426
2180	139	347565
2200	133	347698
2220	125	347823
2240	131	347954
2260	128	348082
2280	135	348217
2300	120	348337
2320	136	348473
2340	138	348611
2360	130	348741
2380	121	348862
2400	111	348973
2420	124	349097
2440	129	349226
2460	112	349338
2480	108	349446
2500	122	349568
2520	131	349699
2540	108	349807
2560	108	349915
2580	91	350006
2600	121	350127
2620	107	350234
2640	100	350334
2660	109	350443
2680	116	350559
2700	104	350663
2720	99	350762
2740	119	350881
2760	116	350997
2780	113	351110
2800	122	351232
2820	96	351328
2840	85	351413
2860	78	351491
2880	96	351587
2900	83	351670
2920	104	351774
2940	91	351865
2960	89	351954
2980	94	352048
3000	102	352150
3020	91	352241
3040	108	352349
3060	103	352452
3080	72	352524
3100	89	352613
3120	76	352689
3140	84	352773
3160	78	352851
3180	88	352939
3200	98	353037
3220	77	353114
3240	88	353202
3260	88	353290
3280	75	353365
3300	70	353435
3320	76	353511
3340	84	353595
