theta/Grads,R(35kV)/Imp/s
3.0,3123.0
3.1,2597.0
3.2,2216.0
3.3,1894.0
3.4,1746.0
3.5,1666.0
3.6,1664.0
3.7,1673.0
3.8,1707.0
3.9,1650.0
4.0,1595.0
4.1,1590.0
4.2,1512.0
4.3,1482.0
4.4,1421.0
4.5,1412.0
4.6,1398.0
4.7,1350.0
4.8,1383.0
4.9,1324.0
5.0,1301.0
5.1,1285.0
5.2,1259.0
5.3,1246.0
5.4,1236.0
5.5,1217.0
5.6,1174.0
5.7,1147.0
5.8,1165.0
5.9,1154.0
6.0,1123.0
6.1,1103.0
6.2,1080.0
6.3,1080.0
6.4,1050.0
6.5,1063.0
6.6,1035.0
6.7,983.0
6.8,998.0
6.9,1000.0
7.0,972.0
7.1,934.0
7.2,909.0
7.3,873.0
7.4,898.0
7.5,836.0
7.6,811.0
7.7,778.0
7.8,724.0
7.9,708.0
8.0,662.0
8.1,652.0
8.2,612.0
8.3,596.0
8.4,568.0
8.5,541.0
8.6,540.0
8.7,530.0
8.8,506.0
8.9,489.0
9.0,477.0
9.1,424.0
9.2,438.0
9.3,441.0
9.4,445.0
9.5,423.0
9.6,426.0
9.7,430.0
9.8,413.0
9.9,415.0
10.0,406.0
10.1,414.0
10.2,424.0
10.3,403.0
10.4,407.0
10.5,411.0
10.6,408.0
10.7,388.0
10.8,407.0
10.9,418.0
11.0,372.0
11.1,401.0
11.2,398.0
11.3,401.0
11.4,391.0
11.5,379.0
11.6,369.0
11.7,365.0
11.8,388.0
11.9,357.0
12.0,373.0
12.1,366.0
12.2,392.0
12.3,392.0
12.4,382.0
12.5,375.0
12.6,374.0
12.7,376.0
12.8,352.0
12.9,384.0
13.0,363.0
13.1,375.0
13.2,384.0
13.3,369.0
13.4,376.0
13.5,363.0
13.6,385.0
13.7,344.0
13.8,373.0
13.9,373.0
14.0,356.0
14.1,363.0
14.2,353.0
14.3,363.0
14.4,369.0
14.5,341.0
14.6,357.0
14.7,360.0
14.8,367.0
14.9,320.0
15.0,355.0
15.1,366.0
15.2,358.0
15.3,344.0
15.4,356.0
15.5,358.0
15.6,349.0
15.7,352.0
15.8,310.0
15.9,352.0
16.0,326.0
16.1,345.0
16.2,347.0
16.3,323.0
16.4,324.0
16.5,336.0
16.6,348.0
16.7,340.0
16.8,345.0
16.9,364.0
17.0,342.0
17.1,362.0
17.2,358.0
17.3,348.0
17.4,352.0
17.5,328.0
17.6,324.0
17.7,321.0
17.8,337.0
17.9,340.0
18.0,326.0
18.1,360.0
18.2,432.0
18.3,548.0
18.4,1888.0
18.5,2042.0
18.6,1287.0
18.7,519.0
18.8,466.0
18.9,430.0
19.0,418.0
19.1,392.0
19.2,384.0
19.3,367.0
19.4,360.0
19.5,379.0
19.6,373.0
19.7,354.0
19.8,371.0
19.9,382.0
20.0,395.0
20.1,428.0
20.2,453.0
20.3,450.0
20.4,540.0
20.5,794.0
20.6,2775.0
20.7,7571.0
20.8,7963.0
20.9,3135.0
21.0,725.0
21.1,526.0
21.2,468.0
21.3,447.0
21.4,379.0
21.5,335.0
21.6,324.0
21.7,322.0
21.8,322.0
21.9,340.0
22.0,311.0
22.1,320.0
22.2,310.0
22.3,306.0
22.4,298.0
22.5,321.0
22.6,288.0
22.7,310.0
22.8,273.0
22.9,276.0
23.0,289.0
23.1,259.0
23.2,275.0
23.3,298.0
23.4,277.0
23.5,274.0
23.6,255.0
23.7,284.0
23.8,285.0
23.9,277.0
24.0,280.0
24.1,255.0
24.2,255.0
24.3,260.0
24.4,273.0
24.5,264.0
24.6,284.0
24.7,262.0
24.8,258.0
24.9,265.0
25.0,250.0
25.1,262.0
25.2,242.0
25.3,255.0
25.4,244.0
25.5,232.0
25.6,257.0
25.7,236.0
25.8,236.0
25.9,232.0
26.0,236.0
26.1,236.0
26.2,241.0
26.3,247.0
26.4,239.0
26.5,237.0
26.6,243.0
26.7,243.0
26.8,239.0
26.9,228.0
27.0,239.0
27.1,225.0
27.2,256.0
27.3,248.0
27.4,235.0
27.5,243.0
27.6,228.0
27.7,237.0
27.8,239.0
27.9,241.0
28.0,237.0
28.1,246.0
28.2,248.0
28.3,227.0
28.4,240.0
28.5,230.0
28.6,240.0
28.7,240.0
28.8,236.0
28.9,240.0
29.0,221.0
29.1,211.0
29.2,233.0
29.3,232.0
29.4,218.0
29.5,216.0
29.6,212.0
29.7,231.0
29.8,226.0
29.9,221.0
30.0,222.0
30.1,227.0
30.2,240.0
30.3,235.0
30.4,209.0
30.5,222.0
30.6,223.0
30.7,232.0
30.8,228.0
30.9,208.0
31.0,246.0
31.1,234.0
31.2,247.0
31.3,254.0
31.4,227.0
31.5,231.0
31.6,238.0
31.7,242.0
31.8,234.0
31.9,220.0
32.0,219.0
32.1,223.0
32.2,217.0
32.3,214.0
32.4,220.0
32.5,244.0
32.6,223.0
32.7,251.0
32.8,227.0
32.9,229.0
33.0,212.0
33.1,226.0
33.2,201.0
33.3,227.0
33.4,213.0
33.5,207.0
33.6,207.0
33.7,218.0
33.8,220.0
33.9,217.0
34.0,216.0
34.1,207.0
34.2,207.0
34.3,203.0
34.4,198.0
34.5,222.0
34.6,210.0
34.7,189.0
34.8,203.0
34.9,207.0
35.0,193.0
35.1,203.0
35.2,205.0
35.3,202.0
35.4,208.0
35.5,207.0
35.6,215.0
35.7,189.0
35.8,209.0
35.9,219.0
36.0,201.0
36.1,214.0
36.2,207.0
36.3,191.0
36.4,193.0
36.5,201.0
36.6,200.0
36.7,205.0
36.8,190.0
36.9,195.0
37.0,202.0
37.1,188.0
37.2,195.0
37.3,186.0
37.4,197.0
37.5,193.0
37.6,216.0
37.7,211.0
37.8,198.0
37.9,204.0
38.0,184.0
38.1,216.0
38.2,205.0
38.3,204.0
38.4,197.0
38.5,200.0
38.6,202.0
38.7,215.0
38.8,198.0
38.9,208.0
39.0,188.0
39.1,193.0
39.2,205.0
39.3,194.0
39.4,194.0
39.5,182.0
39.6,198.0
39.7,200.0
39.8,205.0
39.9,181.0
40.0,188.0
40.1,200.0
40.2,202.0
40.3,193.0
40.4,192.0
40.5,189.0
40.6,197.0
40.7,190.0
40.8,188.0
40.9,187.0
41.0,202.0
41.1,196.0
41.2,197.0
41.3,206.0
