2*theta/Grads,R(35kV)/Imp/s,Corriente/mA
32.0,30.0,0.1
32.2,32.0,0.1
32.4,33.0,0.1
32.5,31.0,0.1
32.8,30.0,0.1
33.0,28.0,0.1
33.2,33.0,0.1
33.4,32.0,0.1
33.6,35.0,0.1
33.8,25.0,0.1
34.0,30.0,0.1
34.2,28.0,0.1
34.4,29.0,0.1
34.5,28.0,0.1
34.8,30.0,0.1
35.0,29.0,0.1
35.2,43.0,0.1
35.4,52.0,0.1
35.5,59.0,0.1
35.8,183.0,0.1
36.0,161.0,0.1
36.2,109.0,0.1
36.4,50.0,0.1
36.5,46.0,0.1
36.8,40.0,0.1
37.0,42.0,0.1
37.2,40.0,0.1
37.4,35.0,0.1
37.5,29.0,0.1
37.8,30.0,0.1
38.0,33.0,0.1
38.2,36.0,0.1
38.4,40.0,0.1
38.6,39.0,0.1
38.8,36.0,0.1
39.0,28.0,0.1
39.2,38.0,0.1
39.4,43.0,0.1
39.5,46.0,0.1
39.8,142.0,0.1
40.0,141.0,0.1
40.2,447.0,0.1
40.4,748.0,0.1
40.5,652.0,0.1
40.8,327.0,0.1
41.0,67.0,0.1
41.2,36.0,0.1
41.4,45.0,0.1
41.5,38.0,0.1
41.8,33.0,0.1
42.0,33.0,0.1
42.2,38.0,0.1
42.4,30.0,0.1
42.6,33.0,0.1
42.8,29.0,0.1
43.0,29.0,0.1
43.2,30.0,0.1
43.4,34.0,0.1
43.6,28.0,0.1
43.8,30.0,0.1
44.0,28.0,0.1
44.2,29.0,0.1
44.4,27.0,0.1
44.5,30.0,0.1
44.8,25.0,0.1
45.0,28.0,0.1
45.2,26.0,0.1
45.4,18.0,0.1
45.5,21.0,0.1
45.8,30.0,0.1
46.0,25.0,0.1
46.2,28.0,0.1
46.4,23.0,0.1
46.5,28.0,0.1
46.8,26.0,0.1
47.0,19.0,0.1
47.2,21.0,0.1
47.4,23.0,0.1
47.6,23.0,0.1
47.8,23.0,0.1
48.0,23.0,0.1
