2*theta/Grads,R(35kV)/Imp/s,Corriente/mA
32.0,71.0,0.2
32.2,62.0,0.2
32.4,58.0,0.2
32.5,67.0,0.2
32.8,69.0,0.2
33.0,69.0,0.2
33.2,75.0,0.2
33.4,75.0,0.2
33.6,67.0,0.2
33.8,71.0,0.2
34.0,65.0,0.2
34.2,68.0,0.2
34.4,60.0,0.2
34.5,76.0,0.2
34.8,68.0,0.2
35.0,72.0,0.2
35.2,119.0,0.2
35.4,115.0,0.2
35.5,129.0,0.2
35.8,350.0,0.2
36.0,327.0,0.2
36.2,259.0,0.2
36.4,106.0,0.2
36.5,77.0,0.2
36.8,88.0,0.2
37.0,80.0,0.2
37.2,81.0,0.2
37.4,71.0,0.2
37.5,78.0,0.2
37.8,76.0,0.2
38.0,70.0,0.2
38.2,88.0,0.2
38.4,68.0,0.2
38.6,68.0,0.2
38.8,72.0,0.2
39.0,67.0,0.2
39.2,74.0,0.2
39.4,84.0,0.2
39.5,100.0,0.2
39.8,319.0,0.2
40.0,318.0,0.2
40.2,856.0,0.2
40.4,1514.0,0.2
40.5,1301.0,0.2
40.8,678.0,0.2
41.0,158.0,0.2
41.2,110.0,0.2
41.4,85.0,0.2
41.5,69.0,0.2
41.8,70.0,0.2
42.0,64.0,0.2
42.2,80.0,0.2
42.4,67.0,0.2
42.6,69.0,0.2
42.8,64.0,0.2
43.0,52.0,0.2
43.2,62.0,0.2
43.4,62.0,0.2
43.6,59.0,0.2
43.8,47.0,0.2
44.0,57.0,0.2
44.2,67.0,0.2
44.4,54.0,0.2
44.5,65.0,0.2
44.8,66.0,0.2
45.0,56.0,0.2
45.2,66.0,0.2
45.4,53.0,0.2
45.5,46.0,0.2
45.8,54.0,0.2
46.0,50.0,0.2
46.2,64.0,0.2
46.4,56.0,0.2
46.5,56.0,0.2
46.8,49.0,0.2
47.0,49.0,0.2
47.2,48.0,0.2
47.4,46.0,0.2
47.6,50.0,0.2
47.8,53.0,0.2
48.0,50.0,0.2
