2*theta/°,R(35kV)/Imp/s,Corriente/mA
32.0,104.0,0.3
32.2,93.0,0.3
32.4,102.0,0.3
32.5,103.0,0.3
32.8,94.0,0.3
33.0,103.0,0.3
33.2,102.0,0.3
33.4,105.0,0.3
33.6,110.0,0.3
33.8,109.0,0.3
34.0,126.0,0.3
34.2,106.0,0.3
34.4,95.0,0.3
34.5,113.0,0.3
34.8,94.0,0.3
35.0,115.0,0.3
35.2,154.0,0.3
35.4,193.0,0.3
35.5,193.0,0.3
35.8,563.0,0.3
36.0,524.0,0.3
36.2,383.0,0.3
36.4,151.0,0.3
36.5,133.0,0.3
36.8,121.0,0.3
37.0,109.0,0.3
37.2,120.0,0.3
37.4,119.0,0.3
37.5,125.0,0.3
37.8,115.0,0.3
38.0,121.0,0.3
38.2,107.0,0.3
38.4,104.0,0.3
38.6,109.0,0.3
38.8,97.0,0.3
39.0,114.0,0.3
39.2,120.0,0.3
39.4,127.0,0.3
39.5,156.0,0.3
39.8,485.0,0.3
40.0,489.0,0.3
40.2,1281.0,0.3
40.4,2212.0,0.3
40.5,1851.0,0.3
40.8,1024.0,0.3
41.0,230.0,0.3
41.2,158.0,0.3
41.4,139.0,0.3
41.5,131.0,0.3
41.8,115.0,0.3
42.0,101.0,0.3
42.2,103.0,0.3
42.4,114.0,0.3
42.6,99.0,0.3
42.8,94.0,0.3
43.0,96.0,0.3
43.2,93.0,0.3
43.4,80.0,0.3
43.6,94.0,0.3
43.8,75.0,0.3
44.0,79.0,0.3
44.2,83.0,0.3
44.4,75.0,0.3
44.5,86.0,0.3
44.8,85.0,0.3
45.0,88.0,0.3
45.2,93.0,0.3
45.4,82.0,0.3
45.5,82.0,0.3
45.8,76.0,0.3
46.0,91.0,0.3
46.2,92.0,0.3
46.4,79.0,0.3
46.5,76.0,0.3
46.8,74.0,0.3
47.0,77.0,0.3
47.2,82.0,0.3
47.4,88.0,0.3
47.6,84.0,0.3
47.8,75.0,0.3
48.0,76.0,0.3
