2*theta/,R(35kV)/Imp/s
32.0,128.0,0.4
32.2,114.0,0.4
32.4,122.0,0.4
32.5,137.0,0.4
32.8,142.0,0.4
33.0,148.0,0.4
33.2,134.0,0.4
33.4,131.0,0.4
33.6,145.0,0.4
33.8,153.0,0.4
34.0,126.0,0.4
34.2,151.0,0.4
34.4,134.0,0.4
34.5,149.0,0.4
34.8,138.0,0.4
35.0,152.0,0.4
35.2,248.0,0.4
35.4,232.0,0.4
35.5,257.0,0.4
35.8,764.0,0.4
36.0,653.0,0.4
36.2,492.0,0.4
36.4,206.0,0.4
36.5,185.0,0.4
36.8,177.0,0.4
37.0,162.0,0.4
37.2,154.0,0.4
37.4,160.0,0.4
37.5,173.0,0.4
37.8,166.0,0.4
38.0,147.0,0.4
38.2,164.0,0.4
38.4,157.0,0.4
38.6,160.0,0.4
38.8,148.0,0.4
39.0,134.0,0.4
39.2,164.0,0.4
39.4,178.0,0.4
39.5,199.0,0.4
39.8,658.0,0.4
40.0,631.0,0.4
40.2,1629.0,0.4
40.4,2802.0,0.4
40.5,2452.0,0.4
40.8,1224.0,0.4
41.0,305.0,0.4
41.2,221.0,0.4
41.4,201.0,0.4
41.5,176.0,0.4
41.8,151.0,0.4
42.0,144.0,0.4
42.2,142.0,0.4
42.4,137.0,0.4
42.6,136.0,0.4
42.8,126.0,0.4
43.0,123.0,0.4
43.2,110.0,0.4
43.4,130.0,0.4
43.6,132.0,0.4
43.8,122.0,0.4
44.0,119.0,0.4
44.2,130.0,0.4
44.4,118.0,0.4
44.5,131.0,0.4
44.8,122.0,0.4
45.0,112.0,0.4
45.2,121.0,0.4
45.4,101.0,0.4
45.5,116.0,0.4
45.8,108.0,0.4
46.0,101.0,0.4
46.2,108.0,0.4
46.4,123.0,0.4
46.5,112.0,0.4
46.8,113.0,0.4
47.0,104.0,0.4
47.2,101.0,0.4
47.4,125.0,0.4
47.6,108.0,0.4
47.8,94.0,0.4
48.0,113.0,0.4
