theta/Grads,R(30kV)/Imp/s,material,grosor/mm
6.0,633.0,Al,0.02
7.0,554.0,Al,0.02
8.0,382.0,Al,0.02
9.0,261.0,Al,0.02
10.0,225.0,Al,0.02
11.0,222.0,Al,0.02
12.0,205.0,Al,0.02
6.0,531.0,Al,0.04
7.0,461.0,Al,0.04
8.0,325.0,Al,0.04
9.0,234.0,Al,0.04
10.0,204.0,Al,0.04
11.0,203.0,Al,0.04
12.0,188.0,Al,0.04
6.0,450.0,Al,0.06
7.0,394.0,Al,0.06
8.0,287.0,Al,0.06
9.0,214.0,Al,0.06
10.0,195.0,Al,0.06
11.0,186.0,Al,0.06
12.0,176.0,Al,0.06
6.0,395.0,Al,0.08
7.0,347.0,Al,0.08
8.0,260.0,Al,0.08
9.0,202.0,Al,0.08
10.0,180.0,Al,0.08
11.0,178.0,Al,0.08
12.0,164.0,Al,0.08
6.0,362.0,Al,0.1
7.0,316.0,Al,0.1
8.0,243.0,Al,0.1
9.0,191.0,Al,0.1
10.0,172.0,Al,0.1
11.0,170.0,Al,0.1
12.0,155.0,Al,0.1
6.0,301.0,Zn,0.025
7.0,257.0,Zn,0.025
8.0,168.0,Zn,0.025
9.0,112.0,Zn,0.025
10.0,85.0,Zn,0.025
11.0,78.0,Zn,0.025
12.0,74.0,Zn,0.025
6.0,141.0,Zn,0.05
7.0,114.0,Zn,0.05
8.0,74.0,Zn,0.05
9.0,51.0,Zn,0.05
10.0,39.0,Zn,0.05
11.0,38.0,Zn,0.05
12.0,36.0,Zn,0.05
6.0,72.0,Zn,0.075
7.0,55.0,Zn,0.075
8.0,37.0,Zn,0.075
9.0,26.0,Zn,0.075
10.0,20.0,Zn,0.075
11.0,21.0,Zn,0.075
12.0,21.0,Zn,0.075
6.0,26.0,Zn,0.1
7.0,17.0,Zn,0.1
8.0,11.0,Zn,0.1
9.0,8.0,Zn,0.1
10.0,8.0,Zn,0.1
11.0,9.0,Zn,0.1
12.0,10.0,Zn,0.1
